가맹정보공개서등록번호,브랜드명,업종대분류명,업종중분류명,기준년도,지역명,가맹점수,평균매출금액,면적단위평균매출금액,화폐단위코드명,해당여부
20080100033,피자에땅,외식,피자,2022,서울,12.0,88210.0,6454.0,(단위 :천원),
20080100033,피자에땅,외식,피자,2022,전체,184.0,139856.0,7918.0,(단위 :천원),
20080100034,오븐에빠진닭,외식,치킨,2022,서울,21.0,587173.0,17615.0,(단위 :천원),
20080100034,오븐에빠진닭,외식,치킨,2022,전체,70.0,321424.0,11027.0,(단위 :천원),
20080100047,놀부보쌈족발,외식,한식,2022,서울,16.0,140594.0,9864.0,(단위 :천원),N
20080100047,놀부보쌈족발,외식,한식,2022,전체,134.0,127721.0,7403.0,(단위 :천원),N
20080100048,놀부부대찌개,외식,한식,2022,서울,48.0,272249.0,10787.0,(단위 :천원),N
20080100048,놀부부대찌개,외식,한식,2022,전체,246.0,155815.0,7719.0,(단위 :천원),N
20080100050,놀부항아리갈비,외식,한식,2022,서울,0.0,0.0,0.0,(단위 :천원),N
20080100050,놀부항아리갈비,외식,한식,2022,전체,4.0,161252.0,6604.0,(단위 :천원),N
20080100052,치킨마루,외식,치킨,2022,서울,51.0,120958.0,11132.0,(단위 :천원),
20080100052,치킨마루,외식,치킨,2022,전체,208.0,120055.0,9151.0,(단위 :천원),
20080100055,본스치킨,외식,치킨,2022,서울,20.0,118263.0,5294.0,(단위 :천원),
20080100055,본스치킨,외식,치킨,2022,전체,110.0,140278.0,7735.0,(단위 :천원),
20080100057,화평동왕냉면,외식,한식,2022,서울,0.0,,,(단위 :천원),N
20080100057,화평동왕냉면,외식,한식,2022,전체,5.0,203038.0,2941.0,(단위 :천원),N
20080100061,네네치킨,외식,치킨,2022,서울,131.0,238839.0,21413.0,(단위 :천원),
20080100061,네네치킨,외식,치킨,2022,전체,1011.0,219128.0,15049.0,(단위 :천원),
20080100066,스무디킹(SMOOTHIEKING),외식,음료 (커피 외),2022,서울,47.0,18830.0,8672.0,(단위 :천원),
20080100066,스무디킹(SMOOTHIEKING),외식,음료 (커피 외),2022,전체,260.0,41065.0,9780.0,(단위 :천원),
20080100071,카페베네,외식,커피,2022,서울,24.0,0.0,0.0,(단위 :천원),
20080100071,카페베네,외식,커피,2022,전체,168.0,0.0,0.0,(단위 :천원),
