상호,영업표지,업종,전체,가맹점,직영점
(주)한경코퍼레이션,한가네숯불닭갈비,한식,,,
(주)화목한,화목칼국수,한식,4,4,0
(주)서호에프앤비,오태식해바라기치킨,치킨,87,87,0
살림F&B,봉쥬르호떡,제과제빵,,,
(주)디아이씨프랜차이즈,금사부김치찜,한식,,,
(주)프레드피자,프레드피자,피자,116,116,0
(주)디아이씨프랜차이즈,삼겹당,한식,,,
우대포위례본점,우대포,한식,1,0,1
(주)바오밥아이엔씨,토계,기타 외식,0,0,0
도리연닭도리탕,도리연닭도리탕,한식,7,6,1
(주)굿투비위드유,뼈대장,한식,0,0,0
(주)굿투비위드유,간편한식탁,한식,6,6,0
(주)굿투비위드유,대박한쌈,한식,0,0,0
탕면,한고심,중식,1,0,1
카페알앤비(CafeR&B스타샌드),카페알앤비(CAFE R&B),커피,1,0,1
맥반BBQ,맥반BBQ,치킨,1,0,1
㈜경재에프앤씨(Kyeongjaef&c),오늘의회전초밥 오회초,일식,1,0,1
미락제면1941,미락제면1941,일식,1,0,1
제이엠제이에프앤비,떡불킹,분식,1,1,0
두부품은육개장,두부품은육개장,한식,5,4,1
하율푸드(주),장터순대국감자탕,한식,16,16,0
이동유통(주),애주당(愛酒堂),주점,1,0,1
(주)양파이,양파이,한식,5,4,1
(주)웰빙코리아,소담촌,기타 외식,89,87,2
(주)제이에스씨컴퍼니,정성찬,기타 외식,44,39,5
(주)브이앤케이코퍼레이션,킹반미1964,기타 외국식,2,0,2
(주)브이앤케이코퍼레이션,브이카페,커피,3,2,1
(주)세지푸드,르번미(Lebunmie),기타 외국식,11,11,0
(주)바스토테크놀로지스,선넘는 떡볶이,분식,0,0,0
(주)바스토테크놀로지스,밥스토랑,기타 외식,158,158,0
순수유통(주),쥬청과,음료 (커피 외),8,7,1
(주)한끼요,한끼요,한식,0,0,0
(주)다온에프앤에스,땡초우동,주점,36,34,2
골든내츄럴라이프,한글153,커피,0,0,0
(주)웰빙푸드,자담치킨,치킨,716,716,0
연심,청정스시,일식,0,0,0
(주)더큰,소바공방,일식,1,0,1
유메오뎅,유메오뎅,한식,,,
(주)인맥에프엔씨,인생건어물맥주,주점,,,
정가네꼬마김밥,정가네 꼬마김밥,분식,1,0,1
(주)다함컴퍼니,꼬치마요,주점,2,2,0
무대포장어,무대포장어,한식,1,0,1
(주)제이앤피푸드,홍미닭발,한식,1,0,1
까사델커피,르몬(Le Mohn),커피,0,0,0
(주)윌앤컴퍼니,솥밥예찬,한식,,,
포밀,정카츠,한식,0,0,0
(주)천사들,오리덕애,한식,0,0,0
(주)조기종푸드,조기종의 향미각,중식,1,0,1
에스투F&B,사랑해베이글,기타 외식,10,8,2
(주)웰푸드컴퍼니,고래꼬치,주점,0,0,0
동양카츠,동양카츠,기타 외식,3,2,1
(주)큐알컴퍼니,착한미역국,한식,0,0,0
(주)세현에프앤비,배무치숯불두마리치킨,치킨,0,0,0
(주)바이담,대패마켓,한식,0,0,0
유달먹거리라이트연산점,유달먹거리,주점,1,0,1
프로이드컴퍼니,호랑이찜닭,한식,1,1,0
려포성마라탕본점,려포성마라탕,중식,1,0,1
SSF&C,언양닭칼국수,한식,47,47,0
(주)엠케이브릿지,꽈뜨봉치킨,치킨,2,2,0
(주)엠케이브릿지,방랑떡볶이,분식,,,
(주)엠케이브릿지,조명탄,주점,4,4,0
(주)드링코코리아,링코(RINKO),주점,34,34,0
(주)정점,인생아구찜,한식,,,
다림식품,한끼한죽,한식,132,132,0
엠에스푸드,동대문역전떡볶이,분식,,,
뭐꼬뭐꼬플러스,뭐꼬뭐꼬,치킨,4,3,1
(주)스타프렌차이즈,류별난닭발,한식,,,
(주)스타프렌차이즈,육회한 감전통닭,기타 외식,,,
(주)스타프렌차이즈,어머나생고기,한식,,,
다우,오들리샷,커피,1,0,1
(주)온센,온센,일식,,,
(주)대단한푸드,대단한 탕후루,제과제빵,,,
폴프랭크카페코리아(주),폴프랭크카페,커피,1,0,1
더온푸드,충청삼겹,한식,2,1,1
(주)케이알푸드,마라의신,중식,3,1,2
(주)호랑이푸드,직화방이,기타 외식,1,1,0
기버(GIVER),기버케밥,기타 외식,1,0,1
시계곱창,시계곱창,한식,2,1,1
카츠오모이,카츠오모이,일식,16,14,2
엔타민푸드,어가반상,한식,3,2,1
파스타앤우,파스타앤우,서양식,20,20,0
(주)팔자마켓,우진해장국,한식,0,0,0
탑오브킹,빙수킹,아이스크림/빙수,0,0,0
탑오브킹,떡보킹,분식,11,10,1
마마꼬,마마꼬,치킨,0,0,0
(주)이디야,이디야커피,커피,"3,019","3,005",14
(주)하솔에프앤비,제주은희네해장국,한식,91,86,5
(주)치어스,치어스,주점,74,73,1
(주)웰푸드컴퍼니,곱분이곱창,한식,137,137,0
(주)힘난다,힘난다토스트,패스트푸드,0,0,0
(주)힘난다,힘난다버거,패스트푸드,43,38,5
