기준년도,업종대분류명,업종중분류명,법인명,브랜드명,가맹점수,신규가맹점등록수,계약종료수,계약해지수,명변경수,평균매출금액,면적단위평균매출금액
2018,외식,기타 외국식,(주)개미그룹,감사한 양(羊),1,1,0,0,0,0,0
2018,외식,기타 외국식,(주)개집컴퍼니,chefdog,9,6,0,0,0,353323,14008
2018,외식,기타 외국식,(주)건호,호우양꼬치 플러스,58,1,0,4,0,416665,53202
2018,외식,기타 외국식,(주)게이트에프앤비,게이트나인(GATE9),1,1,0,0,0,0,0
2018,외식,기타 외국식,(주)꾸버가,철판떼기,0,0,0,0,0,0,0
2018,외식,기타 외국식,(주)늘솜,생어거스틴,32,1,0,5,0,721619,11939
2018,외식,기타 외국식,(주)도스마스,도스마스,45,4,1,6,3,248701,13516
2018,외식,기타 외국식,(주)도스타코스,도스타코스,12,5,4,0,0,258966,11205
2018,외식,기타 외국식,(주)딜세푸드,베나레스,3,0,0,0,0,0,0
2018,외식,기타 외국식,(주)메콩타이컴퍼니,메콩타이,26,2,0,0,4,680303,15394
2018,외식,기타 외국식,(주)미각,미각양꼬치,38,15,3,1,0,233453,6420
2018,외식,기타 외국식,(주)미분당,미분당,0,0,0,0,0,0,0
2018,외식,기타 외국식,(주)바로에프에스,그린하노이,7,0,0,3,0,576174,6253
2018,외식,기타 외국식,(주)바른에프씨,iPho 아이포,12,11,0,0,0,222961,12532
2018,외식,기타 외국식,(주)베나레스푸드시스템,베나레스,3,0,0,0,0,0,0
2018,외식,기타 외국식,(주)보글,화나베,0,0,0,0,0,0,0
2018,외식,기타 외국식,(주)선왕,철판목장,3,0,1,12,1,0,0
2018,외식,기타 외국식,(주)세지푸드,르번미&lt;Lebunmie&gt;,9,7,1,0,0,417884,27179
2018,외식,기타 외국식,(주)씨에스피푸드,씨에스피 르사이공,2,1,0,0,0,0,0
2018,외식,기타 외국식,(주)아시아푸드리퍼블릭,포보스,15,2,0,2,2,332194,11421
2018,외식,기타 외국식,(주)아지야,아지양,1,1,0,0,0,0,0
2018,외식,기타 외국식,(주)어니스트비에스피,보나끼,0,0,0,0,0,0,0
2018,외식,기타 외국식,(주)에스에스피씨(SSPC),숑숑돈까스,9,9,0,0,0,263124,13652
2018,외식,기타 외국식,(주)엔씨코리아푸드,뎁짜이,0,0,0,0,0,0,0
2018,외식,기타 외국식,(주)엘마노,엘마노청춘일면식,0,0,0,0,0,0,0
2018,외식,기타 외국식,(주)엠브이다이닝,번패티번,0,0,0,0,0,0,0
2018,외식,기타 외국식,(주)오리엔탈푸드코리아,분짜라임,2,2,0,0,0,0,0
2018,외식,기타 외국식,(주)와이에스에프엔비,방콕익스프레스,9,4,3,0,0,302100,13337
